time_s,seismic_like_signal
0.0,-0.43451318625929
0.005,-1.3921701278802714
0.01,0.1378857274376336
0.015,-0.03941794981811222
0.02,0.48965952948866037
0.025,-0.03402334617623579
0.03,-0.4704309681776413
0.035,-0.20704828522494292
0.04,0.37075276508265237
0.045,-1.1619855059758313
0.05,0.3068601092586469
0.055,-0.15451119409512726
0.06,-0.3736327550412553
0.065,-0.3837696653478581
0.07,0.563175866770279
0.075,-0.18344614502166273
0.08,-0.5306652158341094
0.085,0.5189320579142578
0.09,-0.9118239527826808
0.095,-0.23307637165446674
0.1,-0.3249763204562997
0.105,-0.37869849509148024
0.11,-0.5233938187966604
0.115,0.25472644097770286
0.12,0.7125246376174549
0.125,0.19872331603177587
0.13,0.5131444191321693
0.135,0.7724664050602686
0.14,0.13185324757240346
0.145,-0.44478994105233877
0.15,0.6917200590052248
0.155,-0.14480686893824551
0.16,0.3713582017434052
0.165,-0.013980518628961288
0.17,-0.925542308087876
0.175,-0.3220055073834056
0.18,-0.19806263771052163
0.185,-0.5721619723489868
0.19,-0.24572917482240203
0.195,-0.2966520684877621
0.2,0.4355602947912042
0.205,-0.2198681946505866
0.21,-0.5203438068980707
0.215,0.3692050878949541
0.22,-0.9873626840340817
0.225,1.1812917184525276
0.23,0.18134778542817387
0.235,0.13664478232123448
0.24,0.3825656571854274
0.245,0.617188280682561
0.25,0.5232258421743582
0.255,-0.41903945074952703
0.26,0.7731393124729277
0.265,0.20147116829957568
0.27,-0.4451245321785532
0.275,-0.40561330856067734
0.28,-0.32447207453025606
0.285,-0.165918135192515
0.29,0.09262119273707083
0.295,-1.0973702410799389
0.3,0.28248411474142343
0.305,0.4239749819688837
0.31,0.08501413606395908
0.315,-0.09391030879064381
0.32,0.12332098104714487
0.325,0.0006790782240248578
0.33,-0.2644274051585537
0.335,0.03461045081741711
0.34,-0.5868499572222331
0.345,0.4018946966805914
0.35,-0.5964857853883742
0.355,-0.2288274015326183
0.36,0.19668954341045833
0.365,0.41976943177017856
0.37,-0.040688644829292
0.375,-0.375790615945049
0.38,-0.45448851447329064
0.385,0.037704910834298666
0.39,0.8328593699975748
0.395,0.5777380249203765
0.4,0.4912459636141213
0.405,0.14542474087005616
0.41,0.41466931359507386
0.415,0.13946426035722617
0.42,0.07429405931347301
0.425,-0.09475992838904881
0.43,-0.43841233997129936
0.435,0.5562272217956227
0.44,0.0461966804392142
0.445,0.3088224099341745
0.45,-0.10457725534569966
0.455,0.10132884870020913
0.46,-0.007563662224533729
0.465,0.23882639830283955
0.47,-0.5445900875718046
0.475,0.26554978675933355
0.48,0.13619574744053667
0.485,-0.4394596841317573
0.49,0.4517984106162079
0.495,-0.4210005698676307
0.5,-0.41714013914320847
0.505,-0.42673603338071847
0.51,-0.3490775316018849
0.515,0.6421482700530944
0.52,-0.12542751651813902
0.525,-0.2750506268711481
0.53,-0.012428492214504393
0.535,0.10677093708240512
0.54,0.6827029396080484
0.545,-0.11412136241517454
0.55,1.6057829944746336
0.555,0.6656187450152311
0.56,-0.3676374064480416
0.565,0.40916668229325653
0.57,0.11128566763019254
0.575,-0.19257441495778968
0.58,-0.16575261794874163
0.585,0.1728569728569904
0.59,0.7221089132112192
0.595,0.7120637159576922
0.6,0.29115055779120064
0.605,-0.5264482909856469
0.61,-0.26289006531808196
0.615,-0.7731997541105735
0.62,0.08621355527991247
0.625,0.11497727394400209
0.63,-0.2073778009773663
0.635,0.3093110895321732
0.64,0.08213951005500808
0.645,0.31052374449472825
0.65,0.017762931952512218
0.655,0.3930789307372382
0.66,0.10586800435513875
0.665,-0.7796215053578879
0.67,0.2985623675640477
0.675,0.6506780145047865
0.68,-0.2155090932550335
0.685,0.26796544729469307
0.69,0.3275848260412593
0.695,-0.34533635069915114
0.7,-0.7858587696492114
0.705,-0.4156657874359884
0.71,0.1994025418575202
0.715,-0.5181550242755769
0.72,0.5087134556558849
0.725,-0.3235534263335133
0.73,0.19206105531190157
0.735,0.7053875658227265
0.74,-0.6087946599204171
0.745,0.6043154261037607
0.75,0.3075569665034886
0.755,-0.17117959868456523
0.76,0.3589642082042778
0.765,-0.5583772408173913
0.77,-0.4760461561904462
0.775,-0.4049754855155369
0.78,0.5640205012565812
0.785,0.5454414348835271
0.79,0.8572595585073592
0.795,0.4343010894046164
0.8,-0.004372411931890609
0.805,-0.2518897111520984
0.81,-0.1971489726207641
0.815,0.2901057533173074
0.82,0.8445837216621405
0.825,-0.8480170743569423
0.83,-0.02965236422447683
0.835,-0.05129800837036636
0.84,1.260527965015363
0.845,-0.4320524701982253
0.85,-1.09786759606274
0.855,0.33109148630542407
0.86,-0.10225317239318792
0.865,-0.09353700422810876
0.87,-0.20495987661562054
0.875,-0.07005595017923737
0.88,-0.37056774244584273
0.885,-0.1265926817204787
0.89,0.07783410394957942
0.895,-0.4216447738699182
0.9,-0.40810429524466163
0.905,0.6355262196430054
0.91,-0.9488820462619972
0.915,1.0581277511015963
0.92,-0.3543392342939776
0.925,-0.4957094412915583
0.93,0.15854223188146108
0.935,-0.1996833777890017
0.94,0.39296716213900745
0.945,0.05800927730404321
0.95,-0.26926219526019507
0.955,0.4120932375904714
0.96,-0.550354225575688
0.965,-0.5345582380554705
0.97,0.07134296560515241
0.975,0.92964558666899
0.98,0.38497905742202515
0.985,-0.06013962346353662
0.99,-0.38282450170316623
0.995,0.788570386054947
1.0,0.36727146905806074
1.005,-0.6324267682626974
1.01,-0.009529537009333918
1.015,0.014962623130950595
1.02,0.6361196957358425
1.025,0.20954823365334624
1.03,0.17795441611209825
1.035,0.4834903477598382
1.04,-0.16547009950065192
1.045,0.2005631303555496
1.05,-0.2046898488494933
1.055,-0.5376644639888117
1.06,0.4996835876516845
1.065,-0.5774409064105163
1.07,-0.06399496773466273
1.075,0.5848164891719213
1.08,-0.4722192059544888
1.085,-0.1138566455688089
1.09,0.6553504330296037
1.095,-0.30224244986760224
1.1,0.6618198371538077
1.105,-0.26777735210281595
1.11,0.27520918095949587
1.115,0.2060746663096821
1.12,0.06808589584445186
1.125,-0.5269876835312174
1.13,0.2186307337831017
1.135,-0.40239201655759466
1.14,-0.5595117487378081
1.145,0.0864206477192754
1.15,-0.06121041714353779
1.155,-0.40966229036402757
1.16,0.7063430533546662
1.165,0.13274880315754561
1.17,0.4804642651449348
1.175,-1.2335108340344036
1.18,0.2837255620006654
1.185,-0.27684041476659943
1.19,0.203482572294341
1.195,-0.46742470986771895
1.2,-0.196126918140255
1.205,0.4296423050858866
1.21,0.3154352351097203
1.215,-0.39440149097810123
1.22,0.5676750270548223
1.225,0.4700373603549348
1.23,-0.7698607122439057
1.235,0.08429189008714831
1.24,0.6100565187350354
1.245,0.3508317702232389
1.25,0.31404119213428505
1.255,-0.0672255553440819
1.26,-0.2952816345332571
1.265,-0.11650211442349964
1.27,0.8660057596109535
1.275,0.513329529519268
1.28,-0.5483139987426873
1.285,0.4824246854740263
1.29,0.4649797232623966
1.295,-0.2925524652001844
