Tiempo (s),Aceleracion (g)
0.0,-0.03140149570199149
0.001,0.09961084781122752
0.002,0.27417810736709974
0.003,0.4229772830166956
0.004,0.5085555647164391
0.005,0.4080992027260791
0.006,0.3576109868112253
0.007,0.18695219087809772
0.008,0.03908963904462846
0.009000000000000001,-0.12786819110053277
0.01,-0.2956323645374657
0.011,-0.3603867020206535
0.012,-0.535257625837729
0.013000000000000001,-0.5122875622697525
0.014,-0.4828457326554109
0.015,-0.2995158796457859
0.016,-0.13769123501552039
0.017,0.0855924153931939
0.018000000000000002,0.2658918402125229
0.019,0.45021680833380395
0.02,0.49755551147632715
0.021,0.4469000891778544
0.022,0.42329532573924994
0.023,0.31817259421744337
0.024,0.2023068858611349
0.025,0.029235328197089534
0.026000000000000002,-0.15947982635236638
0.027,-0.3419269008766506
0.028,-0.39764223203655585
0.029,-0.4591140822335369
0.03,-0.4423518139872371
0.031,-0.3809353504454247
0.032,-0.2652036691046821
0.033,-0.09854811472814017
0.034,0.112895339582749
0.035,0.35683972151792015
0.036000000000000004,0.4480971728900824
0.037,0.4347465356156998
0.038,0.5549928359486117
0.039,0.36942584444391807
0.04,0.23409739488759337
0.041,0.1526068012345746
0.042,-0.07328568311332383
0.043000000000000003,-0.20008944174689283
0.044,-0.36979297726303983
0.045,-0.42132395247305915
0.046,-0.4566992402948588
0.047,-0.550860061923127
0.048,-0.2925974324890777
0.049,-0.08997286770658323
0.05,0.03381506243477637
0.051000000000000004,0.2799460634513446
0.052000000000000005,0.375915067785473
0.053,0.5125952826412365
0.054,0.5055920938395256
0.055,0.4227250373099672
0.056,0.45802888408785647
0.057,0.20827312197419187
0.058,0.08489312560793205
0.059000000000000004,-0.045215120405968756
0.06,-0.3558772379153817
0.061,-0.42617021899863883
0.062,-0.5273365423219164
0.063,-0.4477236937004848
0.064,-0.43623622761756914
0.065,-0.3292448068869152
0.066,-0.12101179342563753
0.067,0.03369168653403142
0.068,0.28260654000823004
0.069,0.44875408180952464
0.07,0.4490200309348447
0.07100000000000001,0.43193228982013027
0.07200000000000001,0.48997352024195434
0.073,0.3685738668340939
0.074,0.1886566268001653
0.075,-0.015600307370597484
0.076,-0.19822998238764514
0.077,-0.2962783297042298
0.078,-0.5369165351480556
0.079,-0.518342994517841
0.08,-0.37562451259669427
0.081,-0.3626837904866307
0.082,-0.22167888618614098
0.083,0.02148845492482157
0.084,0.11141886535023983
0.085,0.3689258264554921
0.08600000000000001,0.498283028652973
0.08700000000000001,0.5354413916741149
0.088,0.46196815310391315
0.089,0.4272183600407959
0.09,0.29442721800642446
0.091,0.17695970965537205
0.092,-0.10832031397881478
0.093,-0.2184451671379278
0.094,-0.3738272181737582
0.095,-0.5506708369135965
0.096,-0.4898103176051477
0.097,-0.5426852454348238
0.098,-0.4250286019635572
