timestamp_iso,t_s,ax_g,ay_g,az_g,rpm,temperature_C,note
2025-01-01T12:00:00,0,-0.045490041,-0.010947514,-0.004561336,3000,35,
2025-01-01T12:00:00.000500,0.0005,0.043388443,0.052355414,-0.018573277,3000.006283,35,
2025-01-01T12:00:00.001000,0.001,0.08182657,0.086096393,-0.002233865,3000.012566,35,
2025-01-01T12:00:00.001500,0.0015,0.074202537,0.139710309,0.020410402,3000.01885,35,
2025-01-01T12:00:00.002000,0.002,0.08502599,0.15134352,0.038716416,3000.025133,35,
2025-01-01T12:00:00.002500,0.0025,0.151852086,0.167966237,0.032207064,3000.031416,35,
2025-01-01T12:00:00.003000,0.003,0.143930314,0.126054477,0.089600596,3000.037699,35,
2025-01-01T12:00:00.003500,0.0035,0.166953012,0.099370927,0.04810765,3000.043982,35,
2025-01-01T12:00:00.004000,0.004,0.179107352,0.097914085,0.061072383,3000.050265,35,
2025-01-01T12:00:00.004500,0.0045,0.189733912,0.048318269,0.091888021,3000.056548,35,
